;Ед. изм.;дек.22;янв.23;фев.23;мар.23;апр.23;май.23;июн.23;июл.23;авг.23;сен.23;окт.23;ноя.23;дек.23;янв.24;фев.24;мар.24;апр.24;май.24;июн.24;июл.24;авг.24;сен.24;окт.24;ноя.24;дек.24;янв.25;фев.25;мар.25;апр.25;май.25;июн.25;июл.25;авг.25;сен.25;окт.25;ноя.25;дек.25;янв.26;фев.26;мар.26;апр.26;май.26;июн.26;июл.26;авг.26;сен.26;окт.26;ноя.26;дек.26;янв.27;фев.27;мар.27;апр.27;май.27;июн.27;июл.27;авг.27;сен.27;окт.27;ноя.27
Баклажаны;кг.;63.2;63.2;63.832;64.47032;65.1150232;65.7661734;66.4238352;67.0880735;67.7589543;68.4365438;69.1209092;69.8121183;70.5102395;71.2153419;71.9274953;72.6467703;73.373238;74.1069704;74.8480401;75.5965205;76.3524857;77.1160105;77.8871706;78.6660423;79.4527028;80.2472298;81.0497021;81.8601991;82.6788011;83.5055891;84.340645;85.1840514;86.035892;86.8962509;87.7652134;88.6428655;89.5292942;90.4245871;91.328833;92.2421213;93.1645425;94.096188;95.0371498;95.9875213;96.9473966;97.9168705;98.8960392;99.8849996;100.8838496;101.8926881;102.911615;103.9407311;104.9801385;106.0299398;107.0902392;108.1611416;109.242753;110.3351806;111.4385324;112.5529177
Говядина оковалок;кг.;450;450;454.5;459.045;463.63545;468.2718045;472.9545225;477.6840678;482.4609084;487.2855175;492.1583727;497.0799564;502.050756;507.0712636;512.1419762;517.263396;522.4360299;527.6603902;532.9369941;538.2663641;543.6490277;549.085518;554.5763732;560.1221369;565.7233583;571.3805918;577.0943978;582.8653417;588.6939952;594.5809351;600.5267445;606.5320119;612.597332;618.7233053;624.9105384;631.1596438;637.4712402;643.8459526;650.2844121;656.7872563;663.3551288;669.9886801;676.6885669;683.4554526;690.2900071;697.1929072;704.1648363;711.2064846;718.3185495;725.501735;732.7567523;740.0843198;747.485163;754.9600147;762.5096148;770.134711;777.8360581;785.6144186;793.4705628;801.4052685
Горох;кг.;38.75;38.75;39.1375;39.528875;39.9241638;40.3234054;40.7266394;41.1339058;41.5452449;41.9606973;42.3803043;42.8041074;43.2321484;43.6644699;44.1011146;44.5421258;44.987547;45.4374225;45.8917967;46.3507147;46.8142218;47.282364;47.7551877;48.2327396;48.715067;49.2022176;49.6942398;50.1911822;50.693094;51.200025;51.7120252;52.2291455;52.7514369;53.2789513;53.8117408;54.3498582;54.8933568;55.4422904;55.9967133;56.5566804;57.1222472;57.6934697;58.2704044;58.8531084;59.4416395;60.0360559;60.6364165;61.2427806;61.8552084;62.4737605;63.0984981;63.7294831;64.3667779;65.0104457;65.6605502;66.3171557;66.9803272;67.6501305;68.3266318;69.0098981
Горошек зеленый с\м;кг.;100;100;101;102.01;103.0301;104.060401;105.101005;106.1520151;107.2135352;108.2856706;109.3685273;110.4622125;111.5668347;112.682503;113.809328;114.9474213;116.0968955;117.2578645;118.4304431;119.6147476;120.810895;122.019004;123.239194;124.471586;125.7163018;126.9734649;128.2431995;129.5256315;130.8208878;132.1290967;133.4503877;134.7848915;136.1327404;137.4940679;138.8690085;140.2576986;141.6602756;143.0768784;144.5076471;145.9527236;147.4122509;148.8863734;150.3752371;151.8789895;153.3977794;154.9317572;156.4810747;158.0458855;159.6263443;161.2226078;162.8348338;164.4631822;166.107814;167.7688921;169.4465811;171.1410469;172.8524573;174.5809819;176.3267917;178.0900597
Итальянские травы;кг.;4062.5;4062.5;4103.125;4144.15625;4185.5978125;4227.4537906;4269.7283285;4312.4256118;4355.5498679;4399.1053666;4443.0964203;4487.5273845;4532.4026583;4577.7266849;4623.5039518;4669.7389913;4716.4363812;4763.600745;4811.2367525;4859.34912;4907.9426112;4957.0220373;5006.5922577;5056.6581802;5107.224762;5158.2970097;5209.8799798;5261.9787796;5314.5985674;5367.744553;5421.4219986;5475.6362185;5530.3925807;5585.6965065;5641.5534716;5697.9690063;5754.9486964;5812.4981833;5870.6231652;5929.3293968;5988.6226908;6048.5089177;6108.9940069;6170.0839469;6231.7847864;6294.1026343;6357.0436606;6420.6140972;6484.8202382;6549.6684406;6615.165125;6681.3167762;6748.129944;6815.6112434;6883.7673559;6952.6050294;7022.1310797;7092.3523905;7163.2759144;7234.9086736
Картофель;кг.;20;20;20.20;20.402;20.60602;20.8120802;21.020201;21.230403;21.442707;21.6571341;21.8737055;22.0924425;22.3133669;22.5365006;22.7618656;22.9894843;23.2193791;23.4515729;23.6860886;23.9229495;24.162179;24.4038008;24.6478388;24.8943172;25.1432604;25.394693;25.6486399;25.9051263;26.1641776;26.4258193;26.6900775;26.9569783;27.2265481;27.4988136;27.7738017;28.0515397;28.3320551;28.6153757;28.9015294;29.1905447;29.4824502;29.7772747;30.0750474;30.3757979;30.6795559;30.9863514;31.2962149;31.6091771;31.9252689;32.2445216;32.5669668;32.8926364;33.2215628;33.5537784;33.8893162;34.2282094;34.5704915;34.9161964;35.2653583;35.6180119
Корень сельдерея;кг.;138;138;139.38;140.7738;142.181538;143.6033534;145.0393869;146.4897808;147.9546786;149.4342254;150.9285676;152.4378533;153.9622318;155.5018542;157.0568727;158.6274414;160.2137158;161.815853;163.4340115;165.0683516;166.7190352;168.3862255;170.0700878;171.7707886;173.4884965;175.2233815;176.9756153;178.7453715;180.5328252;182.3381534;184.161535;186.0031503;187.8631818;189.7418136;191.6392318;193.5556241;195.4911803;197.4460921;199.4205531;201.4147586;203.4289062;205.4631952;207.5178272;209.5930055;211.6889355;213.8058249;215.9438831;218.1033219;220.2843552;222.4871987;224.7120707;226.9591914;229.2287833;231.5210712;233.8362819;236.1746447;238.5363911;240.9217551;243.3309726;245.7642823
Крылья куриные;кг.;185;185;186.85;188.7185;190.605685;192.5117419;194.4368593;196.3812279;198.3450401;200.3284905;202.3317754;204.3550932;206.3986441;208.4626306;210.5472569;212.6527294;214.7792567;216.9270493;219.0963198;221.287283;223.5001558;225.7351574;227.992509;230.2724341;232.5751584;234.90091;237.2499191;239.6224183;242.0186425;244.4388289;246.8832172;249.3520493;251.8455698;254.3640255;256.9076658;259.4767424;262.0715099;264.692225;267.3391472;270.0125387;272.7126641;275.4397907;278.1941886;280.9761305;283.7858918;286.6237507;289.4899882;292.3848881;295.308737;298.2618244;301.2444426;304.256887;307.2994559;310.3724505;313.476175;316.6109367;319.7770461;322.9748166;326.2045647;329.4666104
Куриный бульон концентрированный;кг.;100;100;101;102.01;103.0301;104.060401;105.101005;106.1520151;107.2135352;108.2856706;109.3685273;110.4622125;111.5668347;112.682503;113.809328;114.9474213;116.0968955;117.2578645;118.4304431;119.6147476;120.810895;122.019004;123.239194;124.471586;125.7163018;126.9734649;128.2431995;129.5256315;130.8208878;132.1290967;133.4503877;134.7848915;136.1327404;137.4940679;138.8690085;140.2576986;141.6602756;143.0768784;144.5076471;145.9527236;147.4122509;148.8863734;150.3752371;151.8789895;153.3977794;154.9317572;156.4810747;158.0458855;159.6263443;161.2226078;162.8348338;164.4631822;166.107814;167.7688921;169.4465811;171.1410469;172.8524573;174.5809819;176.3267917;178.0900597
Курица бедро;кг.;225;225;227.25;229.5225;231.817725;234.1359023;236.4772613;238.8420339;241.2304542;243.6427588;246.0791864;248.5399782;251.025378;253.5356318;256.0709881;258.631698;261.218015;263.8301951;266.4684971;269.133182;271.8245138;274.542759;277.2881866;280.0610684;282.8616791;285.6902959;288.5471989;291.4326709;294.3469976;297.2904676;300.2633722;303.2660059;306.298666;309.3616527;312.4552692;315.5798219;318.7356201;321.9229763;325.1422061;328.3936281;331.6775644;334.9943401;338.3442835;341.7277263;345.1450036;348.5964536;352.0824181;355.6032423;359.1592747;362.7508675;366.3783762;370.0421599;373.7425815;377.4800073;381.2548074;385.0673555;388.918029;392.8072093;396.7352814;400.7026342
