Name;Measure;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;
Баклажаны;кг.;0.00000000000000000;0.00000000000000000;137981.93962863393244334;235785.32201562219415791;331700.19455340277636424;428639.81740909453947097;526896.46107024315278977;626686.12118630460463464;728170.89617754716891795;831474.87066405103541911;936695.37634320883080363;1043910.95854853850323707;1153187.01291926414705813;1264579.77422764268703759;1378139.13831246295012534;1493910.66036570281721652;1611936.96487800334580243;1732258.75104386010207236;1854915.49952622945420444;1979945.97807974414899945;2107388.59846923407167196;2237281.67088565975427628;2369663.58975830068811774;2504572.95981316315010190;2642048.69487623870372772;2782130.07912988355383277;2924856.82857131212949753;3070269.12108563026413321;3218407.62957742251455784;3369313.54070836957544088;3523028.57673326134681702;3679595.00596601190045476;3839055.66544344322755933;4001453.95458658691495657;4166833.86300512449815869;4335239.97073277086019516;4506717.46334183029830456;4681312.12906512524932623;4629490.11852371972054243;4654158.10038738232105970;4678853.94000184815376997;4703577.43066908698529005;4728327.21588497702032328;4753101.54424242954701185;4777898.49695908278226852;4802716.06318695005029440;4827552.18746527563780546;4852404.76165570411831141;4877271.63149318657815456;4902150.59792091324925423;4927039.41679169889539480;4951935.79480965901166201;4976837.40010493900626898;5001741.83959351666271687;5026646.68542634230107069;5051549.45461716502904892;5076447.61394987627863884;5101338.58400709182024002;5126219.72713891044259071;5151088.35821133479475975;
Говядина оковалок;кг.;0.00000000000000000;0.00000000000000000;300198.04903381591429934;512982.30660044384421781;721657.85998564690817147;932562.89422517025377601;1146333.28120972588658333;1363438.95055923354811966;1584232.56601278134621680;1808984.09316968475468457;2037905.28924916405230761;2271167.03863768605515361;2508911.61874810419976711;2751261.37631114665418863;2998324.86662768479436636;3250201.19911359902471304;3506983.11103506432846189;3768759.14802808361127973;4035615.20654890080913901;4307635.63078985363245010;4584903.98997350782155991;4867503.63579650409519672;5155518.09663100447505713;5449031.36276113614439964;5748128.09317889157682657;6052893.76268736738711596;6363414.77645506244152784;6679778.54642168153077364;7002073.56131420843303204;7330389.42844968568533659;7664816.91980849672108889;8005447.99887821357697248;8352375.85292352270334959;8705694.91500523686408997;9065500.88749984093010426;9431890.76083867251873016;9804962.83462205901741982;10184816.73775493539869785;10072071.06438843160867691;10125739.54002629220485687;10179468.62259314395487309;10233257.85763254575431347;10287104.30901412479579449;10341004.15470292977988720;10394953.21517376601696014;10448947.13203293830156326;10502981.42304428294301033;10557051.50075376406311989;10611152.68122217245399952;10665280.17917528934776783;10719429.11076070368289948;10773594.49276219867169857;10827771.23955647833645344;10881954.16249006055295467;10936137.96574533917009830;10990317.25028196722269058;11044486.50625682622194290;11098640.11482132226228714;11152772.34751809388399124;11206877.36161112040281296;
Горох;кг.;0.00000000000000000;0.00000000000000000;11750.17616167713822506;20078.85290986585823703;28246.70919309824239463;36501.83047317754244432;44869.10567960318439873;53366.92857647435448598;62009.10295863210922107;70806.19551652968220878;79766.49487001165107358;88896.68969423561065923;98202.34867761853092816;107688.26089323019550648;117358.67528728155593853;127217.47122739042970352;137268.27831220760708675;147514.56262792955385521;157959.68608657622826286;168606.95021966018248349;179459.62580012035323307;190520.97548198504955508;201794.26890245685353875;213282.79333069681888446;224989.86237489435006864;236918.82147703578812070;249073.05306859326083213;261455.97843476894195192;274071.06098944589029998;286921.80852218630025163;300011.77332247159210965;313344.55561963526997715;326923.80226630205288529;340753.21008249284932390;354836.52461559022776783;369177.54232505662366748;383780.11094769468763843;398648.13006748602492735;394235.10502043023006991;396335.76488316245377064;398438.79710572160547599;400544.18393929232843220;402651.81024390185484663;404761.52622931910445914;406873.16876513918396086;408986.56704322731820866;411101.54578618577215821;413217.92488297371892259;415335.52147584315389395;417454.14831940393196419;419573.61408241634489968;421693.72382608981570229;423814.27820370130939409;425935.07445948128588498;428055.90535715839359909;430176.55921536817913875;432296.82027047983137891;434416.46916453778976575;436535.28130128415068612;438653.02796175231924281;
Горошек зеленый с\м;кг.;0.00000000000000000;0.00000000000000000;60646.07051188199693570;103632.78921221087512095;145789.46666376705979928;188396.54428791318787262;231582.48105246986960992;275442.21229644148843363;320046.98305363609688357;365451.33206659700954333;411698.03835821268148720;458821.62391218531411141;506850.83215772220864892;555810.37900559650734067;605722.19509840651880950;656606.30265940388198942;708481.43636822164990008;761365.48443171242251992;815275.79913863725960255;870229.42041804792825133;926243.23008246289100498;983334.06776593904942274;1041518.80711888964287937;1100814.41676019993610680;1161237.99835478258319199;1222806.82102151238359511;1285538.33869392168708146;1349450.21148269739933312;1414560.31528125936165452;1480886.75326178851537406;1548447.86286425846628845;1617262.22181551274843514;1687348.65672135562635958;1758726.24579399800859392;1831414.32052095257677138;1905432.47666990524157882;1980800.57256185426376760;2057538.73530433746054769;2034761.83101321337744594;2045603.94721308210864663;2056458.30802362691611052;2067324.82027926016598940;2078202.89099773461930454;2089091.74882723391056061;2099990.54906076332554221;2110898.41109671257436275;2121814.42879073880612850;2132737.67718489747494459;2143667.20811683731153607;2154602.05652724672108889;2165541.23414480453357100;2176483.73599067004397511;2187428.53327010432258248;2198374.57780308462679386;2209320.80129189044237137;2220266.11130814813077450;2231209.39477083785459399;2242149.51790616894140840;2253085.32236643461510539;2264015.62876999704167247;
Итальянские травы;кг.;0.00000000000000000;0.00000000000000000;86231.13150908221723512;147352.87216111234738491;207294.39791254379088059;267876.33640820102300495;329281.34026716643711552;391644.39550886198412627;455066.80402581131784245;519626.11265345057472587;585383.14813055074773729;652386.99661874305456877;720678.52685974701307714;790292.88267349591478705;861261.24639659561216831;933612.08681090874597430;1007372.04263167351018637;1082566.54822588735260069;1159220.27717604278586805;1237357.45702994754537940;1317002.09306753380224109;1398178.12766400561667979;1480909.55418586055748165;1565220.49871296109631658;1651135.27917545335367322;1738678.44829915370792150;1827874.82524377247318625;1918749.51940130325965583;2011327.94840916199609637;2105635.85221666982397437;2201699.30451054731383920;2299544.72185269137844443;2399198.87192094326019287;2500688.88036342198029160;2604042.23726981086656451;2709286.80307617178186774;2816450.81426497409120202;2925562.88873098045587540;2893176.97887111362069845;2908593.11275701038539410;2924026.65616874862462282;2939477.47810634970664978;2954944.73530171019956470;2970427.32975707948207855;2985924.06119111273437738;3001433.67740505933761597;3016954.89093525381758809;3032486.38435610104352236;3048026.81172881182283163;3063574.79878864763304591;3079128.94277093466371298;3094687.81205987324938178;3110249.94580315239727497;3125813.85339688370004296;3141378.01413861382752657;3156940.87667327141389251;3172500.85864534229040146;3188056.34616876300424337;3203605.69334621401503682;3219147.22185027925297618;
Картофель;кг.;0.00000000000000000;0.00000000000000000;30929.49596105981981964;52852.72249822755111381;74352.62799852120224386;96082.23758683573396411;118107.06533675962418783;140475.52817593826330267;163223.96110847091767937;186380.17914912922424264;209965.99976476072333753;233999.02826257192646153;258493.92409932822920382;283463.29319248418323696;308918.31946673063794151;334869.21474862634204328;361325.53267856984166428;388296.39710376557195559;415790.65733344107866287;443817.00408228050218895;472384.04723174805985764;501500.37452385964570567;531174.59161837724968791;561415.35254361643455923;592231.37980403297115117;623631.47927101317327470;655624.55291724740527570;688219.60791729146149009;721425.76156601693946868;755252.24364183400757611;789708.40908065042458475;824803.73279920441564173;860547.81524916703347117;896950.38590575987473130;934021.30364929290954024;971770.56269198493100703;1010208.29138553189113736;1049344.75529626756906509;1037728.53343769453931600;1043258.01247453305404633;1048793.73736623511649668;1054335.65890715713612735;1059883.47412597574293613;1065436.79180759959854186;1070995.18045622180216014;1076558.18887552758678794;1082125.35749758966267109;1087696.21496906876564026;1093270.27692336309701204;1098847.05000122217461467;1104426.03071124223060906;1110006.70488554053008556;1115588.55181118613108993;1121171.03418075293302536;1126753.60804818524047732;1132335.71700577577576041;1137916.79229257558472455;1143496.25488969078287482;1149073.51378839090466499;1154647.96959998062811792;
Корень сельдерея;кг.;0.00000000000000000;0.00000000000000000;8369.15773063971573720;14301.32491128510082490;20118.94639959985215683;25998.72311441892088624;31958.38238613647627062;38011.02529011064325459;44166.48366424473351799;50432.28381944691500394;56814.32927190518239513;63317.38410726203437662;69945.41481294504774269;76701.83231509789766278;83589.66294985475542489;90611.66977812937693670;97770.43822674240800552;105068.43684973985364195;112508.06029095016128849;120091.65997693414101377;127821.56579045244143344;135700.10135366671602242;143729.59542939453967847;151912.38948013237677515;160250.84377214402775280;168747.34125988889718428;177404.29071922207367606;186224.12919909608899616;195209.32354019006015733;204362.37192544504068792;213685.80504648946225643;223182.18662545626284555;232854.11467300626100041;242704.22184597898740321;252735.17627012621960603;262949.68182273657293990;273350.47900103474967182;283940.34537798538804054;280797.13274369825376198;282293.34476667596027255;283791.24648518656613305;285290.82510579325025901;286791.99892861995613202;288294.66131927527021617;289798.69569820928154513;291303.98067450389498845;292810.39116686262423173;294317.79936825553886592;295826.07475160958711058;297335.08375409035943449;298844.69034620147431269;300354.75554627744713798;301865.13756686053238809;303375.69181801396189258;304886.27058965869946405;306396.72334524261532351;307906.89649571070913225;309416.63354377640644088;310925.77455692173680291;312434.15672064840327948;
Крылья куриные;кг.;0.00000000000000000;0.00000000000000000;112195.23044698170269839;191720.66004259014152922;269710.51332796906353906;348533.60699981194920838;428427.59004975599236786;509568.09271728014573455;592086.91859627247322351;676084.96404268732294440;761641.37059088563546538;848820.00433195463847369;937674.03922189935110509;1028249.20124205062165856;1120586.06132871983572841;1214721.66003234125673771;1310690.65742412325926125;1408526.14613432926125824;1508260.22869320237077773;1609924.42756876396015286;1713549.97584763844497502;1819168.02543201460503042;1926809.79377077240496874;2036506.67120664543472230;2148290.29746537981554866;2262192.61863165115937591;2378245.92666885303333402;2496482.89144910825416446;2616936.58385525317862630;2739640.49376747943460941;2864628.54602091247215867;2991935.11047027865424752;3121595.01547779329121113;3253643.55389942601323128;3388116.49336309498175979;3525050.08188010798767209;3664481.05963299237191677;3806446.66005357634276152;3764309.38789470866322517;3784367.30289236083626747;3804447.86942031746730208;3824550.91654019616544247;3844675.34769701724871993;3864819.73442457756027579;3884982.51463695568963885;3905162.05906097404658794;3925356.69281886704266071;3945564.70196761144325137;3965784.33514523832127452;3986013.80435047484934330;4006251.28371509909629822;4026494.91114600980654359;4046742.78640411654487252;4066992.96989429043605924;4087243.48240454122424126;4107492.30536135938018560;4127737.38095933385193348;4147976.60906705493107438;4168207.84716111142188311;4188428.91310326056554914;
Куриный бульон концентрированный;кг.;0.00000000000000000;0.00000000000000000;30323.03525594099846785;51816.39460610543756047;72894.73333188352989964;94198.27214395659393631;115791.24052623493480496;137721.10614822074421681;160023.49152681804844178;182725.66603329850477166;205849.01917910634074360;229410.81195609265705571;253425.41607886110432446;277905.18950279825367033;302861.09754920325940475;328303.15132970194099471;354240.71818411082495004;380682.74221585621125996;407637.89956931862980127;435114.71020902396412566;463121.61504123144550249;491667.03388296952471137;520759.40355944482143968;550407.20838009996805340;580618.99917739129159600;611403.41051075619179755;642769.16934696084354073;674725.10574134869966656;707280.15764062968082726;740443.37663089425768703;774223.93143212923314422;808631.11090775637421757;843674.32836067781317979;879363.12289699900429696;915707.16026047628838569;952716.23833495262078941;990400.28628092713188380;1028769.36765216873027384;1017380.91550660668872297;1022801.97360654105432332;1028229.15401181345805526;1033662.41013963008299470;1039101.44549886730965227;1044545.87441361695528030;1049995.27453038166277111;1055449.20554835628718138;1060907.21439536940306425;1066368.83859244873747230;1071833.60405841865576804;1077301.02826362336054444;1082770.61707240226678550;1088241.86799533502198756;1093714.26663505216129124;1099187.28890154231339693;1104660.40064594522118568;1110133.05565407406538725;1115604.69738541892729700;1121074.75895308447070420;1126542.66118321730755270;1132007.81438499852083623;
Курица бедро;кг.;0.00000000000000000;0.00000000000000000;614041.46393280522897840;1049281.99077363521791995;1476118.34997064131312072;1907515.01121739763766527;2344772.62111834762617946;2788852.39902518969029188;3240475.70325930509716272;3700194.73658369528129697;4168442.63788185594603419;4645568.94292842503637075;5131864.67479884158819914;5627580.08793810009956360;6132937.22720263805240393;6648138.81637194007635117;7173374.54624895378947258;7708825.53037409670650959;8254667.46911322604864836;8811072.88042608276009560;9378212.70533419214189053;9956257.43637988530099392;10545377.92476818710565567;11145745.96786887384951115;11757534.73415438272058964;12380919.05941122584044933;13016075.67890225537121296;13663183.39193762838840485;14322423.19410712644457817;14993978.37826314941048622;15678034.60755034908652306;16374779.99548436887562275;17084405.15296684950590134;17807103.23694882914423943;18543069.99772904813289642;19292503.82917828857898712;20055605.79815394058823586;20832579.69088349118828773;20601963.54290183261036873;20711739.96683013811707497;20821640.36392658203840256;20931663.80163503438234329;21041804.27116045728325844;21152053.95370893925428391;21262404.30612582340836525;21372846.40721810981631279;21483371.09081377834081650;21593968.97822225093841553;21704630.48210113123059273;21815345.82030138000845909;21926105.00103681534528732;22036897.82668901979923248;22147713.89928763732314110;22258542.60318782180547714;22369373.11111666634678841;22480194.37536503002047539;22590995.12442287057638168;22701763.87055491656064987;22812488.89242713898420334;22923158.23767309263348579;
Лавровый лист;кг.;0.00000000000000000;0.00000000000000000;2911.01138457033584928;4974.37388218612250057;6997.89439986081833922;9043.03412581983320706;11115.95909051855414873;13221.22618686753594375;15362.25518736987214652;17541.66393516033349442;19761.50583746331903967;22023.43795090822095517;24328.83993795018977835;26678.89819039514259202;29074.66536964054830605;31517.10253166382244672;34007.10895333802909590;36545.54325527665787376;39133.23836519536416745;41771.01217324058234226;44459.67504958168865414;47200.03525463956611929;49992.90275101879524300;52839.09199851153971395;55739.42393230507877888;58694.72739501995238243;61705.84025263736111810;64773.61014961251930799;67898.89513740618713200;71082.56415328421280719;74325.49739979169680737;77628.58665350115916226;80992.73553992668166757;84418.85978038757457398;87907.88739254740357865;91460.75889374861435499;95078.42748465031036176;98761.85926880074839573;97668.56790523507515900;98188.98948300367919728;98709.99876554904039949;99231.59134181699482724;99753.73875459084229078;100276.40392548292584252;100799.54632413623039611;101323.12370325819938444;101847.09258031746139750;102371.40849080009502359;102896.02599030194687657;103420.89870550025079865;103945.97925501372083090;104471.21932759966875892;104996.56959698084392585;105521.97975819851853885;106047.39845420932397246;106572.77332978640333749;107098.05096278106793761;107623.17686666459485423;108148.09549647261155769;108672.75017074694915209;
Лапша яичная;кг.;0.00000000000000000;0.00000000000000000;18193.82115356460053590;31089.83676366326471907;43736.83999913011211902;56518.96328637396072736;69474.74431574095797259;82632.66363290486333426;96014.09487612725934014;109635.39953496727684978;123509.41150563149130903;137646.48717304482124746;152055.24961539125069976;166743.11369103714241646;181716.65852597469347529;196981.89083619584562257;212544.43092325804173015;228409.64533377756015398;244582.73983783391304314;261068.82600739569170401;277872.96898539928952232;295000.22031666856491938;312455.64213129581185058;330244.32502660294994712;348371.39956913096830249;366842.04619571432704106;385661.50157126341946423;404835.06343250483041629;424368.09465402172645554;444266.02592535869916901;464534.35876250953879207;485178.66651239787461236;506204.59725870063994080;527617.87364495266228914;549424.29612520360387862;571629.74317526537925005;594240.17201663786545396;617261.62047867744695395;610428.54945311392657459;613681.18440101016312838;616937.49229962052777410;620197.44586233224254102;623460.86741025559604168;626727.52468514849897474;629997.16454755037557334;633269.52318105485755950;636544.32849727245047688;639821.30310881952755153;643100.16250925802160054;646380.61707222997210920;649662.37037034402601421;652945.12075105425901711;656228.55996564903762192;659512.37351094745099545;662796.24018282617907971;666079.83315079356543720;669362.81843696651048958;672644.85563124308828264;675925.59671100182458758;679204.68854639993514866;
Лук репка;кг.;0.00000000000000000;0.00000000000000000;48516.85640950559900375;82906.23136976870591752;116631.57333101364201866;150717.23536315798992291;185265.98481958504999056;220353.76968028268311173;256037.58658220793586224;292361.06574750441359356;329358.43047943437704816;367057.29906070302240551;405480.66567144083091989;444648.30352955026319250;484577.75655651843408123;525285.04212855896912515;566785.14951665024273098;609092.38723815488629043;652220.63930332625750452;696183.53593164496123791;740994.58393170579802245;786667.25444442324806005;833215.04606191115453839;880651.53322769002988935;928990.39900276088155806;978245.45745007402729243;1028430.67048150522168726;1079560.16938378452323377;1131648.25236462824977934;1184709.40181565401144326;1238758.29073819285258651;1293809.77800980932079256;1349878.92497244360856712;1406980.99589127837680280;1465131.45572046260349452;1524345.98221175139769912;1584640.45853140950202942;1646030.98869708832353354;1627809.46561519615352154;1636483.15916288737207651;1645166.64716278621926904;1653859.85674980469048023;1662562.31362027977593243;1671273.39841642952524126;1679992.43885048688389361;1688718.72865359601564705;1697451.54286737018264830;1706190.14259477634914219;1714933.76731429668143392;1723681.64558472647331655;1732432.98708128416910768;1741186.98862590198405087;1749942.82700059446506202;1758699.66298366128467023;1767456.64014777843840420;1776212.88857787009328604;1784967.51704070228151977;1793719.61456128768622875;1802468.25916742975823581;1811212.50335580203682184;
