Name;Measure;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;
Баклажаны;кг.;0.00000000000000000;0.00000000000000000;68990.96981431696622167;117892.66100781109707896;165850.09727670138818212;214319.90870454726973549;263448.23053512157639489;313343.06059315230231732;364085.44808877358445898;415737.43533202551770955;468347.68817160441540182;521955.47927426925161853;576593.50645963207352906;632289.88711382134351879;689069.56915623147506267;746955.33018285140860826;805968.48243900167290121;866129.37552193005103618;927457.74976311472710222;989972.98903987207449973;1053694.29923461703583598;1118640.83544282987713814;1184831.79487915034405887;1252286.47990658157505095;1321024.34743811935186386;1391065.03956494177691638;1462428.41428565606474876;1535134.56054281513206661;1609203.81478871125727892;1684656.77035418478772044;1761514.28836663067340851;1839797.50298300595022738;1919527.83272172161377966;2000726.97729329345747828;2083416.93150256224907935;2167619.98536638543009758;2253358.73167091514915228;2340656.06453256262466311;2314745.05926185986027122;2327079.05019369116052985;2339426.97000092407688498;2351788.71533454349264503;2364163.60794248851016164;2376550.77212121477350593;2388949.24847954139113426;2401358.03159347502514720;2413776.09373263781890273;2426202.38082785205915570;2438635.81574659328907728;2451075.29896045662462711;2463519.70839584944769740;2475967.89740482950583100;2488418.70005246950313449;2500870.91979675833135843;2513323.34271317115053535;2525774.72730858251452446;2538223.80697493813931942;2550669.29200354591012001;2563109.86356945522129536;2575544.17910566739737988;
Говядина оковалок;кг.;0.00000000000000000;0.00000000000000000;150099.02451690795714967;256491.15330022192210890;360828.92999282345408574;466281.44711258512688801;573166.64060486294329166;681719.47527961677405983;792116.28300639067310840;904492.04658484237734228;1018952.64462458202615380;1135583.51931884302757680;1254455.80937405209988356;1375630.68815557332709432;1499162.43331384239718318;1625100.59955679951235652;1753491.55551753216423094;1884379.57401404180563986;2017807.60327445040456951;2153817.81539492681622505;2292451.99498675391077995;2433751.81789825204759836;2577759.04831550223752856;2724515.68138056807219982;2874064.04658944578841329;3026446.88134368369355798;3181707.38822753122076392;3339889.27321084076538682;3501036.78065710421651602;3665194.71422484284266829;3832408.45990424836054444;4002723.99943910678848624;4176187.92646176135167480;4352847.45750261843204498;4532750.44374992046505213;4715945.38041933625936508;4902481.41731102950870991;5092408.36887746769934893;5036035.53219421580433846;5062869.77001314610242844;5089734.31129657197743654;5116628.92881627287715673;5143552.15450706239789724;5170502.07735146488994360;5197476.60758688300848007;5224473.56601646915078163;5251490.71152214147150517;5278525.75037688203155994;5305576.34061108622699976;5332640.08958764467388391;5359714.55538035184144974;5386797.24638109933584929;5413885.61977823916822672;5440977.08124503027647734;5468068.98287266958504915;5495158.62514098361134529;5522243.25312841311097145;5549320.05741066113114357;5576386.17375904694199562;5603438.68080556020140648;
Горох;кг.;0.00000000000000000;0.00000000000000000;5875.08808083856911253;10039.42645493292911851;14123.35459654912119731;18250.91523658877122216;22434.55283980159219936;26683.46428823717724299;31004.55147931605461054;35403.09775826484110439;39883.24743500582553679;44448.34484711780532962;49101.17433880926546408;53844.13044661509775324;58679.33764364077796927;63608.73561369521485176;68634.13915610380354337;73757.28131396477692761;78979.84304328811413143;84303.47510983009124175;89729.81290006017661653;95260.48774099252477754;100897.13445122842676938;106641.39666534840944223;112494.93118744717503432;118459.41073851789406035;124536.52653429663041607;130727.98921738447097596;137035.53049472294514999;143460.90426109315012582;150005.88666123579605483;156672.27780981763498858;163461.90113315102644265;170376.60504124642466195;177418.26230779511388391;184588.77116252831183374;191890.05547384734381922;199324.06503374301246367;197117.55251021511503495;198167.88244158122688532;199219.39855286080273800;200272.09196964616421610;201325.90512195092742331;202380.76311465955222957;203436.58438256959198043;204493.28352161365910433;205550.77289309288607910;206608.96244148685946129;207667.76073792157694697;208727.07415970196598209;209786.80704120817244984;210846.86191304490785114;211907.13910185065469705;212967.53722974064294249;214027.95267857919679955;215088.27960768408956937;216148.41013523991568945;217208.23458226889488287;218267.64065064207534306;219326.51398087615962140;
Горошек зеленый с\м;кг.;0.00000000000000000;0.00000000000000000;30323.03525594099846785;51816.39460610543756047;72894.73333188352989964;94198.27214395659393631;115791.24052623493480496;137721.10614822074421681;160023.49152681804844178;182725.66603329850477166;205849.01917910634074360;229410.81195609265705571;253425.41607886110432446;277905.18950279825367033;302861.09754920325940475;328303.15132970194099471;354240.71818411082495004;380682.74221585621125996;407637.89956931862980127;435114.71020902396412566;463121.61504123144550249;491667.03388296952471137;520759.40355944482143968;550407.20838009996805340;580618.99917739129159600;611403.41051075619179755;642769.16934696084354073;674725.10574134869966656;707280.15764062968082726;740443.37663089425768703;774223.93143212923314422;808631.11090775637421757;843674.32836067781317979;879363.12289699900429696;915707.16026047628838569;952716.23833495262078941;990400.28628092713188380;1028769.36765216873027384;1017380.91550660668872297;1022801.97360654105432332;1028229.15401181345805526;1033662.41013963008299470;1039101.44549886730965227;1044545.87441361695528030;1049995.27453038166277111;1055449.20554835628718138;1060907.21439536940306425;1066368.83859244873747230;1071833.60405841865576804;1077301.02826362336054444;1082770.61707240226678550;1088241.86799533502198756;1093714.26663505216129124;1099187.28890154231339693;1104660.40064594522118568;1110133.05565407406538725;1115604.69738541892729700;1121074.75895308447070420;1126542.66118321730755270;1132007.81438499852083623;
Итальянские травы;кг.;0.00000000000000000;0.00000000000000000;43115.56575454110861756;73676.43608055617369246;103647.19895627189544030;133938.16820410051150247;164640.67013358321855776;195822.19775443099206313;227533.40201290565892123;259813.05632672528736293;292691.57406527537386864;326193.49830937152728438;360339.26342987350653857;395146.44133674795739353;430630.62319829780608416;466806.04340545437298715;503686.02131583675509319;541283.27411294367630035;579610.13858802139293402;618678.72851497377268970;658501.04653376690112054;699089.06383200280833989;740454.77709293027874082;782610.24935648054815829;825567.63958772667683661;869339.22414957685396075;913937.41262188623659313;959374.75970065162982792;1005663.97420458099804819;1052817.92610833491198719;1100849.65225527365691960;1149772.36092634568922222;1199599.43596047163009644;1250344.44018171099014580;1302021.11863490543328226;1354643.40153808589093387;1408225.40713248704560101;1462781.44436549022793770;1446588.48943555681034923;1454296.55637850519269705;1462013.32808437431231141;1469738.73905317485332489;1477472.36765085509978235;1485213.66487853974103928;1492962.03059555636718869;1500716.83870252966880798;1508477.44546762690879405;1516243.19217805052176118;1524013.40586440591141582;1531787.39939432381652296;1539564.47138546733185649;1547343.90602993662469089;1555124.97290157619863749;1562906.92669844185002148;1570689.00706930691376328;1578470.43833663570694625;1586250.42932267114520073;1594028.17308438150212169;1601802.84667310700751841;1609573.61092513962648809;
Картофель;кг.;0.00000000000000000;0.00000000000000000;15464.74798052990990982;26426.36124911377555691;37176.31399926060112193;48041.11879341786698205;59053.53266837981209392;70237.76408796913165133;81611.98055423545883968;93190.08957456461212132;104982.99988238036166877;116999.51413128596323077;129246.96204966411460191;141731.64659624209161848;154459.15973336531897075;167434.60737431317102164;180662.76633928492083214;194148.19855188278597780;207895.32866672053933144;221908.50204114025109448;236192.02361587402992882;250750.18726192982285284;265587.29580918862484396;280707.67627180821727961;296115.68990201648557559;311815.73963550658663735;327812.27645862370263785;344109.80395864573074505;360712.88078300846973434;377626.12182091700378805;394854.20454032521229237;412401.86639960220782086;430273.90762458351673558;448475.19295287993736565;467010.65182464645477012;485885.28134599246550351;505104.14569276594556868;524672.37764813378453255;518864.26671884726965800;521629.00623726652702317;524396.86868311755824834;527167.82945357856806368;529941.73706298787146807;532718.39590379979927093;535497.59022811090108007;538279.09443776379339397;541062.67874879483133554;543848.10748453438282013;546635.13846168154850602;549423.52500061108730733;552213.01535562111530453;555003.35244277026504278;557794.27590559306554496;560585.51709037646651268;563376.80402409262023866;566167.85850288788788021;568958.39614628779236227;571748.12744484539143741;574536.75689419545233250;577323.98479999031405896;
Корень сельдерея;кг.;0.00000000000000000;0.00000000000000000;4184.57886531985786860;7150.66245564255041245;10059.47319979992607841;12999.36155720946044312;15979.19119306823813531;19005.51264505532162730;22083.24183212236675899;25216.14190972345750197;28407.16463595259119757;31658.69205363101718831;34972.70740647252387134;38350.91615754894883139;41794.83147492737771245;45305.83488906468846835;48885.21911337120400276;52534.21842486992682097;56254.03014547508064425;60045.82998846707050689;63910.78289522622071672;67850.05067683335801121;71864.79771469726983923;75956.19474006618838757;80125.42188607201387640;84373.67062994444859214;88702.14535961103683803;93112.06459954804449808;97604.66177009503007866;102181.18596272252034396;106842.90252324473112822;111591.09331272813142277;116427.05733650313050020;121352.11092298949370161;126367.58813506310980301;131474.84091136828646995;136675.23950051737483591;141970.17268899269402027;140398.56637184912688099;141146.67238333798013628;141895.62324259328306653;142645.41255289662512951;143395.99946430997806601;144147.33065963763510808;144899.34784910464077257;145651.99033725194749422;146405.19558343131211586;147158.89968412776943296;147913.03737580479355529;148667.54187704517971724;149422.34517310073715635;150177.37777313872356899;150932.56878343026619405;151687.84590900698094629;152443.13529482934973203;153198.36167262130766176;153953.44824785535456613;154708.31677188820322044;155462.88727846086840145;156217.07836032420163974;
Крылья куриные;кг.;0.00000000000000000;0.00000000000000000;56097.61522349085134920;95860.33002129507076461;134855.25666398453176953;174266.80349990597460419;214213.79502487799618393;254784.04635864007286727;296043.45929813623661175;338042.48202134366147220;380820.68529544281773269;424410.00216597731923684;468837.01961094967555255;514124.60062102531082928;560293.03066435991786420;607360.83001617062836885;655345.32871206162963063;704263.07306716463062912;754130.11434660118538886;804962.21378438198007643;856774.98792381922248751;909584.01271600730251521;963404.89688538620248437;1018253.33560332271736115;1074145.14873268990777433;1131096.30931582557968795;1189122.96333442651666701;1248241.44572455412708223;1308468.29192762658931315;1369820.24688373971730471;1432314.27301045623607934;1495967.55523513932712376;1560797.50773889664560556;1626821.77694971300661564;1694058.24668154749087989;1762525.04094005399383605;1832240.52981649618595839;1903223.33002678817138076;1882154.69394735433161259;1892183.65144618041813374;1902223.93471015873365104;1912275.45827009808272123;1922337.67384850862435997;1932409.86721228878013790;1942491.25731847784481943;1952581.02953048702329397;1962678.34640943352133036;1972782.35098380572162569;1982892.16757261916063726;1993006.90217523742467165;2003125.64185754954814911;2013247.45557300490327179;2023371.39320205827243626;2033496.48494714521802962;2043621.74120227061212063;2053746.15268067969009280;2063868.69047966692596674;2073988.30453352746553719;2084103.92358055571094155;2094214.45655163028277457;
Куриный бульон концентрированный;кг.;0.00000000000000000;0.00000000000000000;15161.51762797049923392;25908.19730305271878024;36447.36666594176494982;47099.13607197829696815;57895.62026311746740248;68860.55307411037210841;80011.74576340902422089;91362.83301664925238583;102924.50958955317037180;114705.40597804632852785;126712.70803943055216223;138952.59475139912683517;151430.54877460162970237;164151.57566485097049735;177120.35909205541247502;190341.37110792810562998;203818.94978465931490064;217557.35510451198206283;231560.80752061572275124;245833.51694148476235569;260379.70177972241071984;275203.60419004998402670;290309.49958869564579800;305701.70525537809589878;321384.58467348042177036;337362.55287067434983328;353640.07882031484041363;370221.68831544712884352;387111.96571606461657211;404315.55545387818710878;421837.16418033890658990;439681.56144849950214848;457853.58013023814419284;476358.11916747631039470;495200.14314046356594190;514384.68382608436513692;508690.45775330334436148;511400.98680327052716166;514114.57700590672902763;516831.20506981504149735;519550.72274943365482613;522272.93720680847764015;524997.63726519083138555;527724.60277417814359069;530453.60719768470153213;533184.41929622436873615;535916.80202920932788402;538650.51413181168027222;541385.30853620113339275;544120.93399766751099378;546857.13331752608064562;549593.64445077115669847;552330.20032297261059284;555066.52782703703269362;557802.34869270946364850;560537.37947654223535210;563271.33059160865377635;566003.90719249926041812;
Курица бедро;кг.;0.00000000000000000;0.00000000000000000;307020.73196640261448920;524640.99538681760895997;738059.17498532065656036;953757.50560869881883264;1172386.31055917381308973;1394426.19951259484514594;1620237.85162965254858136;1850097.36829184764064848;2084221.31894092797301710;2322784.47146421251818538;2565932.33739942079409957;2813790.04396905004978180;3066468.61360131902620196;3324069.40818597003817558;3586687.27312447689473629;3854412.76518704835325480;4127333.73455661302432418;4405536.44021304138004780;4689106.35266709607094526;4978128.71818994265049696;5272688.96238409355282784;5572872.98393443692475557;5878767.36707719136029482;6190459.52970561292022467;6508037.83945112768560648;6831591.69596881419420242;7161211.59705356322228909;7496989.18913157470524311;7839017.30377517454326153;8187389.99774218443781137;8542202.57648342475295067;8903551.61847441457211971;9271534.99886452406644821;9646251.91458914428949356;10027802.89907697029411793;10416289.84544174559414387;10300981.77145091630518436;10355869.98341506905853748;10410820.18196329101920128;10465831.90081751719117165;10520902.13558022864162922;10576026.97685446962714195;10631202.15306291170418262;10686423.20360905490815639;10741685.54540688917040825;10796984.48911112546920776;10852315.24105056561529636;10907672.91015069000422955;10963052.50051840767264366;11018448.91334450989961624;11073856.94964381866157055;11129271.30159391090273857;11184686.55555833317339420;11240097.18768251501023769;11295497.56221143528819084;11350881.93527745828032494;11406244.44621356949210167;11461579.11883654631674290;
