Name;Measure;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;
Баклажаны;кг.;0.00000000000000000;0.00000000000000000;206972.90944295088411309;284687.01320911635411903;379657.63082229311112314;477109.62883694039192051;576024.78290081745944917;676580.95124433527234942;778913.28367316839285195;883126.85790730302687734;989305.62918278772849590;1097518.74965120339766145;1207825.04010462691076100;1320276.15488183195702732;1434918.82035487331449986;1551796.42139232251793146;1670950.11713415361009538;1792419.64412678824737668;1916243.87376741436310112;2042461.21735650137998164;2171109.90866397926583886;2302228.20709387259557843;2435854.54919462138786912;2572027.64484059391543269;2710786.56240777624770999;2852170.77125670621171594;2996220.20329202665016055;3142975.26734278909862041;3292476.88382331887260079;3444766.49627384310588241;3599886.09474570723250508;3757878.22058238694444299;3918785.99518215889111161;4082653.09915815899148583;4249523.81721439398825169;4419443.02459659427404404;4592456.20964636001735926;4768609.46192677225917578;4603579.11325301788747311;4666492.09131921268999577;4691201.85980908107012510;4715939.17600270640105009;4740702.10849292203783989;4765488.70842115581035614;4790296.97331740893423557;4815124.84630088414996862;4839970.24960443750023842;4864831.04875091835856438;4889705.06641192827373743;4914590.08113477658480406;4939483.82622709125280380;4964383.98381864000111818;4989288.20275257900357246;5014194.05933780595660210;5039099.10834275465458632;5064000.83921257685869932;5088896.69361623190343380;5113784.06903569865971804;5138660.29870482068508863;5163522.67374754697084427;
Говядина оковалок;кг.;0.00000000000000000;0.00000000000000000;450297.07355072384234518;619374.43538375780917704;825995.63667824841104448;1038015.41134493204299361;1253218.47470200364477932;1471991.78523398749530315;1694629.37373955501243472;1921359.85674813645891845;2152365.88728890335187316;2387797.91333194682374597;2627783.90880331350490451;2872436.25509266741573811;3121856.61178595433011651;3376139.36535655613988638;3635374.06699579674750566;3899647.16652459325268865;4169043.23580930940806866;4443645.84291033074259758;4723538.16956533398479223;5008803.45870800223201513;5299525.32704825419932604;5595787.99582620244473219;5897676.45838776882737875;6205276.59744160529226065;6518675.28333890996873379;6837960.43140499014407396;7163221.06876047234982252;7494547.36201742477715015;7832030.66548790223896503;8175763.53841307200491428;8525839.77994617633521557;8882354.44604609534144402;9245403.87374714389443398;9615085.69750808738172054;9991498.87151375226676464;10374743.68932137452065945;10015698.22770517878234386;10152573.77784522436559200;10206333.16387657076120377;10260152.47515224665403366;10314027.53470491431653500;10367954.07754733227193356;10421927.74540918506681919;10475944.09046252258121967;10529998.56854995526373386;10584086.53960850462317467;10638203.27145637571811676;10692343.92815184779465199;10746503.57655340991914272;10800677.18376294709742069;10854859.61295361630618572;10909045.62395685352385044;10963229.86737297847867012;11017406.89255028031766415;11071571.13424425572156906;11125716.91910357214510441;11179838.46386647783219814;11233929.86865763366222382;
Горох;кг.;0.00000000000000000;0.00000000000000000;17625.26424251570642809;24243.19128396021915250;32330.63733471443265444;40629.39111321719246916;49052.74328281600901391;57615.84002490994316759;66330.19014971097931266;75204.74179547846142668;84246.64454675263550598;93461.78710634759045206;102855.17816931000561453;112431.21700103602779564;122193.88248430723615456;132146.86919744487386197;142293.68185461618122645;152637.70478579052723944;163182.24781589958001859;173930.58228620214504190;184885.96359035043860786;196051.65032291741226800;207430.91561269274097867;219027.05554481680155732;230843.39689699313021265;242883.30102810650714673;255150.16886437198263593;267647.44111785676795989;280378.60226678434992209;293347.18228855653433129;306556.75572261417983100;320010.94676821713801473;333713.42558963544433936;347667.91399058827664703;361878.18188213888788596;376348.05117978982161731;391081.39525901374872774;406082.13962738163536415;392028.59249690233264118;397386.09481452859472483;399490.31321700121043250;401596.87735607771901414;403705.62339620664715767;405816.38422202772926539;407928.99003304919460788;410043.26618227135622874;412159.03515766502823681;414276.11443136772140861;416394.31977227784227580;418513.46174118429189548;420633.34696392255136743;422753.77869792655110359;424874.55539250705623999;426995.47258737130323425;429116.32080599694745615;431236.88614447310101241;433356.95079803565749899;435476.29361156671075150;437594.68736965733114630;439711.90129198640352115;
Горошек зеленый с\м;кг.;0.00000000000000000;0.00000000000000000;90969.10576782299904153;125126.14856237532512750;166867.80538954513031058;209700.08309998625190929;253175.44943474821047857;297372.07791842729784548;342349.36843223334290087;388153.50657307752408087;434821.39150402048835531;482383.41668917163042352;530865.43628049059771001;580290.15242953365668654;630678.10314481146633625;682048.35643990244716406;734419.00322263047564775;787807.50846345780882984;842230.95649209979455918;897706.23105775320436805;954250.13491467025596648;1011879.48660767718683928;1070611.17679536505602300;1130462.22158085508272052;1191449.78915207367390394;1253591.23235487728379667;1316904.09753012657165527;1381406.14787708525545895;1447115.36718054022639990;1514049.97225205297581851;1582228.41766549344174564;1651669.40129113988950849;1722391.87417427706532180;1794415.04033031919971108;1867758.35788443009369075;1942441.55474438145756721;2018484.62050782889127731;2095907.81667557894252241;2023373.37886765133589506;2051025.00531301624141634;2061885.48842889955267310;2072758.07640707702375948;2083641.92635697172954679;2094536.17774198343977332;2105439.94917752826586366;2116352.34211468696594238;2127272.43763775238767266;2138199.30138197680935264;2149131.97358280746266246;2160069.48073245119303465;2171010.82295358367264271;2181954.98691360233351588;2192900.93190982146188617;2203847.60006957454606891;2214793.91303629335016012;2225738.76631627697497606;2236681.03650218248367310;2247619.57947383448481560;2258553.22459656745195389;2269480.78197177825495601;
Итальянские травы;кг.;0.00000000000000000;0.00000000000000000;129346.69726362332585268;177913.74248712739790790;237265.16078825949807651;298167.30565602966817096;359983.84219664911506698;422825.92312970978673548;486778.00828428595559672;551905.76696727017406374;618261.66586910095065832;685888.92086283920798451;754824.29198024899233133;825100.06058037036564201;896745.42825814546085894;969787.50701806531287730;1044252.02054205583408475;1120163.80102299433201551;1197547.14165112050250173;1276426.04695690004155040;1356824.41108632693067193;1438766.14496224140748382;1522275.26744678802788258;1607375.97097651148214936;1694092.66940669948235154;1782450.03286100388504565;1872473.01371608185581863;1964186.86648006876930594;2057617.16291309124790132;2152789.80412042420357466;2249731.03065748605877161;2348467.43052376294508576;2449025.94695506943389773;2551433.88458466157317162;2655718.91572300484403968;2761909.08597935223951936;2870032.81985937524586916;2980118.92596398387104273;2876984.02394118020310998;2916301.17969995876774192;2931743.42787461774423718;2947202.88907515024766326;2962678.36389939021319151;2978168.62698476435616612;2993672.42690812936052680;3009188.48551203263923526;3024715.49770035129040480;3040252.13106652442365885;3055797.02541516767814755;3071348.79231856577098370;3086906.01476207841187716;3102467.24670434277504683;3118031.01267479220405221;3133595.80719374911859632;3149160.09450947865843773;3164722.30794059997424483;3180280.84963137796148658;3195834.08993047336116433;3211380.36693493928760290;3226917.98610231187194586;
Картофель;кг.;0.00000000000000000;0.00000000000000000;46394.24394158973154845;63814.33576681141130393;85102.58074866801325697;106947.04238099299254827;129119.47921172158385161;151659.75959552757558413;174598.17757473725941963;197958.28816945836297236;221758.91007257645833306;246015.54251147754257545;270741.37201770639512688;295947.97773906216025352;321645.83260385389439762;347844.66238957422319800;374553.69164354156237096;401781.82931636343710124;429537.78744827886112034;457830.17745670018484816;486667.56880648183869198;516058.53816991538042203;546011.70016563613899052;576535.73300623602699488;607639.39343424118123949;639331.52900450327433646;671621.08974036446306854;704517.13541731343138963;738028.83839037979487330;772165.48467974248342216;806936.49180005863308907;842351.39465848135296255;878419.85647414845880121;915151.67123405635356903;952556.76252105936873704;990645.19221333088353276;1029427.15573230548761785;1068912.98725163517519832;1031920.42250840819906443;1046022.75199295231141150;1051561.59981208620592952;1057106.61967761814594269;1062657.38173538516275585;1068213.45064841164276004;1073774.37478053290396929;1079339.69308518059551716;1084908.94180862093344331;1090481.64370480808429420;1096057.30790051049552858;1101635.43654015171341598;1107215.52106625237502158;1112797.04197268956340849;1118379.47527400893159211;1123962.27536553633399308;1129544.89498190139420331;1135126.77148457104340196;1140707.32993597560562193;1146285.98618824826553464;1151862.14323774096556008;1157435.19750577560625970;
Корень сельдерея;кг.;0.00000000000000000;0.00000000000000000;12553.73659595957360580;17267.40850160779518774;23027.75714375722964178;28938.61147182845888892;34938.21202199524850585;41037.34674209772492759;47244.21285131177137373;53565.18389704800938489;60005.35199813431245275;66568.91152494045672938;73259.43016578655806370;80080.04106617433717474;87033.57826723318430595;94122.67319226668041665;101349.82245104892353993;108717.43616123858373612;116227.87201155530055985;123883.45981992612360045;131686.51869721160619520;139639.36913527385331690;147744.34246725845150650;156003.78650550128077157;164420.07091814983868971;172995.59000376131734811;181732.76544888864737004;190634.04843903312576003;199701.92071073706028983;208938.89611807253095321;218347.52160701170214452;227930.37741493966314010;237690.07869678124552593;247629.27543246533605270;257750.65348219985025935;268056.93459904170595109;278550.87759018380893394;289235.27856646070722491;279225.52642655465751886;283041.45077816478442401;284540.19734444183995947;286040.61441609659232199;287542.58584003336727619;289045.99251460289815441;290550.71288767631631345;292056.62316265120171010;293563.59641304198885337;295071.50346895202528685;296580.21244328661123291;298089.58825533068738878;299599.49364225706085563;301109.78814631549175829;302620.32857715204590932;304130.96894359064754099;305641.55997548112645745;307151.94972303457325324;308661.98307094472693279;310171.50206780922599137;311680.34506349440198392;313188.34780251176562160;
Крылья куриные;кг.;0.00000000000000000;0.00000000000000000;168292.84567047253949568;231483.37484039433184080;308705.43997065850999206;387945.15383573342114687;468374.58157472807215527;550138.34405104222241789;633346.33153576857876033;718083.98676589480601251;804419.57386498467531055;892409.32120248908177018;982101.05666687176562846;1073536.78225212637335062;1166754.49137205467559397;1261789.45938415173441172;1358675.15612001437693834;1457443.89048943202942610;1558127.26997263915836811;1660756.52700654463842511;1765362.74998707557097077;1871977.05022420291788876;1980630.67794015142135322;2091355.10992458183318377;2204182.11059474665671587;2319143.77921478683128953;2436272.58068745397031307;2555601.37383923586457968;2677163.43005832564085722;2800992.44872359232977033;2927122.57214762922376394;3055588.39269496174529195;3186424.96798155037686229;3319667.82311024237424135;3455352.96309492923319340;3593516.87613861449062824;3734196.54850943433120847;3877429.46026386832818389;3743240.75181527482345700;3794396.26039118692278862;3814488.15268429554998875;3834602.44010013528168201;3854737.56327542755752802;3874891.92778835771605372;3895063.90474314475432038;3915251.83127298299223185;3935454.00969781354069710;3955668.70654198387637734;3975894.15173405176028609;3996128.53895309288054705;4016370.02339741121977568;4036616.72486146539449692;4056866.72403316991403699;4077118.06163937738165259;4097368.73865966638550162;4117616.71683976892381907;4137859.91875832108780742;4158096.22312091523781419;4178323.46620813943445683;4198539.44607433490455151;
Куриный бульон концентрированный;кг.;0.00000000000000000;0.00000000000000000;45484.55288391149952076;62563.07428118766256375;83433.90269477256515529;104850.04154999312595464;126587.72471737410523929;148686.03895921364892274;171174.68421611667145044;194076.75328653876204044;217410.69575201024417765;241191.70834458581521176;265432.71814024529885501;290145.07621476682834327;315339.05157240573316813;341024.17821995122358203;367209.50161131523782387;393903.75423172890441492;421115.47824604989727959;448853.11552887660218403;477125.06745733512798324;505939.74330383859341964;535305.58839768252801150;565231.11079042754136026;595724.89457603683695197;626795.61617743864189833;658452.04876506328582764;690703.07393854262772948;723557.68359027011319995;757024.98612602648790926;791114.20883274672087282;825834.70064556994475424;861195.93708713853266090;897207.52016515959985554;933879.17894221504684538;971220.77737219072878361;1009242.31025391444563866;1047953.90833778947126120;1011686.68943382566794753;1025512.50265650812070817;1030942.74421444977633655;1036379.03820353851187974;1041820.96317848586477339;1047268.08887099171988666;1052719.97458876413293183;1058176.17105734348297119;1063636.21881887619383633;1069099.65069098840467632;1074565.98679140373133123;1080034.74036622559651732;1085505.41147679183632135;1090977.49345680116675794;1096450.46595491073094308;1101923.80003478727303445;1107396.95651814667508006;1112869.38315813848748803;1118340.51825109124183655;1123809.78973691724240780;1129276.61229828372597694;1134740.39098588912747800;
Курица бедро;кг.;0.00000000000000000;0.00000000000000000;921062.19589920784346759;1266902.25419405009597540;1689536.52956914459355175;2123213.34184077568352222;2563401.42606882285326719;3010892.28797861095517874;3466287.35537636280059814;3930054.25324589014053345;4402566.58853093627840281;4884132.09545170981436968;5375012.54073405079543591;5875437.79450772888958454;6385615.79683490656316280;6905739.61095659155398607;7435992.41118746064603329;7976551.02243666816502810;8527588.43848278932273388;9089275.58608251065015793;9661782.61778824590146542;10245279.80190273188054562;10839938.16896233893930912;11445929.98941921629011631;12063429.11729713715612888;12692611.22203964740037918;13333653.98864777013659477;13986737.24845531396567822;14652043.09519187547266483;15329755.97034115903079510;16020062.72219394892454147;16723152.68945137970149517;17439217.73170808702707291;18168452.27893981710076332;18911053.37811915576457977;19667220.74490290507674217;20437156.78264176845550537;21221066.63724826648831367;20486655.46891100704669952;20766628.17879429087042809;20876590.56247480213642120;20986675.52048926055431366;21096874.50592317059636116;21207178.79498318210244179;21317579.48233426734805107;21428067.45776425302028656;21538633.43261161446571350;21649267.92192648351192474;21759961.23404056951403618;21870703.48940150439739227;21981484.59140453487634659;22092294.23951512202620506;22203121.93558694422245026;22313956.95513791590929031;22424788.36508109048008919;22535605.00748920813202858;22646395.49895178899168968;22757148.24362093955278397;22867851.40336325019598007;22978492.91029606759548187;
